schcd,schname,school_cat,management,rururb,dtname,longitude,latitude
29270103902,Glps Urdu Kiragasur,Primary,Department of Education,1,Chamarajanagara,76.568611,11.631111
29270217701,Glps  Kaniyanapura Colony.,Primary,Department of Education,1,Chamarajanagara,76.68,11.633333
29260334606,Viveka High School Of Excellence,Secondary with Higher Secondary,Private Unaided (Recognized),2,Mysuru,76.701667,11.6425
29270207101,Glps Yala Chatty,Primary,Department of Education,1,Chamarajanagara,76.705,11.646111
29270207001,Glps Jakkahalli,Primary,Department of Education,1,Chamarajanagara,76.681667,11.646389
29270206901,Ghps  Mangala,Primary with Upper Primary,Department of Education,1,Chamarajanagara,76.671389,11.649167
29270218301,Glps Chikkayalachatty,Primary,Department of Education,1,Chamarajanagara,76.725278,11.656111
29270217401,"Glps, Karemala",Primary,Department of Education,1,Chamarajanagara,76.654722,11.659444
29270207202,Ashrma School Bandipura,Primary,Tribal Welfare Department,1,Chamarajanagara,76.627222,11.663889
29270211201,Glps  Upakar Colony,Primary,Department of Education,1,Chamarajanagara,76.77,11.665278
29270211203,Glps Upakara Girijana Colony,Primary,Department of Education,1,Chamarajanagara,76.776944,11.67
29270210601,Ghps  Kunda Kere,Primary with Upper Primary,Department of Education,1,Chamarajanagara,76.788889,11.690278
29270204501,Glps  Melukamana Halli Tribes,Primary,Department of Education,1,Chamarajanagara,76.636667,11.694722
29270204601,Glps  Maguvina Halli,Primary,Department of Education,1,Chamarajanagara,76.651111,11.697778
29270216901,Glps  Melu Kamana Halli,Primary,Department of Education,1,Chamarajanagara,76.639722,11.701944
29270204701,Ghps  Bachalli,Primary with Upper Primary,Department of Education,1,Chamarajanagara,76.736944,11.701944
29270204704,Ghs Bachalli,Secondary Only,Department of Education,1,Chamarajanagara,76.731944,11.705
29270210901,Glps  Hegga Vadi,Primary,Department of Education,1,Chamarajanagara,76.775278,11.705
29270206402,Glps-1  Shetta Halli,Primary,Department of Education,1,Chamarajanagara,76.718889,11.706944
29270206201,Ghps  Kebbe Pura,Primary with Upper Primary,Department of Education,1,Chamarajanagara,76.700833,11.7075
29270206001,Ghps  Hundi Pura,Primary with Upper Primary,Department of Education,1,Chamarajanagara,76.696389,11.709444
29270211001,Glps  Kadabur,Primary,Department of Education,1,Chamarajanagara,76.819722,11.709722
29270206002,Ghs Hundi Pura,Secondary Only,Department of Education,1,Chamarajanagara,76.696111,11.71
29270210701,Ghps  Chirakana Halli,Primary with Upper Primary,Department of Education,1,Chamarajanagara,76.809722,11.710278
29270206101,Ghps  Bela Vadi,Primary with Upper Primary,Department of Education,1,Chamarajanagara,76.710278,11.7125
29270210502,Tss Hs Vaddagere,Secondary Only,Government Aided,1,Chamarajanagara,76.7925,11.715833
29270205101,Ghps  Yariyur,Primary with Upper Primary,Department of Education,1,Chamarajanagara,76.76,11.716111
29270206301,Glps  Chowda Halli,Primary,Department of Education,1,Chamarajanagara,76.698056,11.716389
29270210501,Ghps  Vadda Gere,Primary with Upper Primary,Department of Education,1,Chamarajanagara,76.793056,11.716944
29270205001,Ghps  Ankahalli,Primary with Upper Primary,Department of Education,1,Chamarajanagara,76.733889,11.720556
29270206701,Ghps  Kali Gowdan Halli,Primary with Upper Primary,Department of Education,1,Chamarajanagara,76.658889,11.720833
29270210001,Glps  Karakala Madahalli,Primary,Department of Education,1,Chamarajanagara,76.778889,11.7225
29270204902,Divyasree Convent Lps,Primary,Private Unaided (Recognized),1,Chamarajanagara,76.730833,11.724444
29270204903,Goutham Hs Bommalapura,Secondary Only,Government Aided,1,Chamarajanagara,76.723056,11.725
29270204901,Ghps  Bommalapura,Primary with Upper Primary,Department of Education,1,Chamarajanagara,76.723889,11.725556
29270210802,Glps Kurubara Hundi -T,Primary,Department of Education,1,Chamarajanagara,76.806667,11.725556
29270206601,Ghps  Shiva Pura,Primary with Upper Primary,Department of Education,1,Chamarajanagara,76.684444,11.727778
29270206501,Glps Hullepura,Primary,Department of Education,1,Chamarajanagara,76.699167,11.727778
29270210401,Ghps  Bommana Halli,Primary with Upper Primary,Department of Education,1,Chamarajanagara,76.811111,11.728056
29270210402,Ghs Bommana Halli,Secondary Only,Department of Education,1,Chamarajanagara,76.814722,11.728611
29270209901,Glps  Dari Begur,Primary,Department of Education,1,Chamarajanagara,76.765278,11.728889
29270211101,Glps  Ramaiahna Pura,Primary,Department of Education,1,Chamarajanagara,76.844444,11.731667
29270206602,Jss Hs Shivapura,Secondary Only,Government Aided,1,Chamarajanagara,76.683889,11.731944
29270205701,Glps  Hangalahosahalli Col,Primary,Department of Education,1,Chamarajanagara,76.612778,11.732222
29270209601,Ghps  Koda Soge,Primary with Upper Primary,Department of Education,1,Chamarajanagara,76.754167,11.737778
29270209602,Jss Hs Koda Soge,Secondary Only,Government Aided,1,Chamarajanagara,76.759722,11.738056
29270209801,Glps  Kadathala Katte Hund,Primary,Department of Education,1,Chamarajanagara,76.766944,11.739722
29270111101,Ghps  Yaragana Halli,Primary with Upper Primary,Department of Education,1,Chamarajanagara,76.849,11.74
29270111102,Ghs Yaraganahalli,Secondary Only,Department of Education,1,Chamarajanagara,76.849,11.742
29270204204,Morarji Residential School Hangala,Upper Pri. and Secondary,Social welfare Department,1,Chamarajanagara,76.641667,11.742778
29270204203,Karnataka Public Schools Gpuc Hangala,Secondary Only,Department of Education,1,Chamarajanagara,76.649722,11.743889
29270204201,Karnataka Public Schools Ghps  Hangala,Primary with Upper Primary,Department of Education,1,Chamarajanagara,76.649722,11.744444
29270204206,Karnataka Public Schools Govt Pu College Hangala (Pu Section,Higher Secondary only/Jr. College,Department of Education,1,Chamarajanagara,76.65105,11.747454
29270205601,Glps Kalli Pura,Primary,Department of Education,1,Chamarajanagara,76.609444,11.7475
29270205301,Ghps  Devara Halli,Primary with Upper Primary,Department of Education,1,Chamarajanagara,76.626111,11.748056
29270204401,Glps Hangala Pura,Primary,Department of Education,1,Chamarajanagara,76.661667,11.748333
29270110701,Glps  Yanagumba,Primary,Department of Education,1,Chamarajanagara,76.86,11.749
29270205202,Gangadareswara Hs Gopala Pura,Secondary Only,Government Aided,1,Chamarajanagara,76.593611,11.75
29270210101,Ghps  Somanapura,Primary with Upper Primary,Department of Education,1,Chamarajanagara,76.765278,11.750833
29270205201,Ghps Gopala Pura,Primary with Upper Primary,Department of Education,1,Chamarajanagara,76.596667,11.751389
29270110901,Glps Vaddarahalli,Primary,Department of Education,1,Chamarajanagara,76.879722,11.751944
29270110801,Ghps  Madhalavadi,Primary with Upper Primary,Department of Education,1,Chamarajanagara,76.812,11.753
29270111001,Glps  Achattipura,Primary,Department of Education,1,Chamarajanagara,76.854444,11.754722
29270217601,Glps  Lakkipura,Primary,Department of Education,1,Chamarajanagara,76.577222,11.755278
29270210201,Glps  Sheelavantha Pura,Primary,Department of Education,1,Chamarajanagara,76.768333,11.757778
29270124401,Glps  Yetthegowdanadoddi,Primary,Department of Education,1,Chamarajanagara,77.08,11.758
29270205501,Ghps Honne Gowdana Halli,Primary with Upper Primary,Department of Education,1,Chamarajanagara,76.620556,11.758333
29270204301,Ghps  Puttana Pura,Primary with Upper Primary,Department of Education,1,Chamarajanagara,76.661944,11.759722
29270207601,Ghps  Beram Badi,Primary with Upper Primary,Department of Education,1,Chamarajanagara,76.567778,11.761944
29270205902,Glps Bheechanahally,Primary,Department of Education,1,Chamarajanagara,76.584167,11.762222
29270200401,Glps  Bendra Vadi,Primary,Department of Education,1,Chamarajanagara,76.676944,11.764167
29270110602,Ghs Yanagalli,Secondary Only,Department of Education,1,Chamarajanagara,76.859,11.765
29270110201,Glps  Mudala Hosa Halli,Primary,Department of Education,1,Chamarajanagara,76.887,11.767
29270104302,Nirmala Hps Kudluru,Primary with Upper Primary,Private Unaided (Recognized),1,Chamarajanagara,76.886944,11.767222
29270121301,Glps  Veerayanapura,Primary,Department of Education,1,Chamarajanagara,77.077778,11.767222
29270110601,Ghps  Yanagalli,Primary with Upper Primary,Department of Education,1,Chamarajanagara,76.862778,11.767778
29270115001,Glps  Mukana Palya,Primary,Department of Education,1,Chamarajanagara,77.068,11.768
29270206801,Ghps  Kodahalli,Primary with Upper Primary,Department of Education,1,Chamarajanagara,76.6925,11.768056
29270210301,Glps  Huthur,Primary,Department of Education,1,Chamarajanagara,76.796667,11.768889
29270111201,Ghps  Kilagere,Primary with Upper Primary,Department of Education,1,Chamarajanagara,76.822,11.769
29270110502,Divyasree Hps Arakalavadi,Primary with Upper Primary,Government Aided,1,Chamarajanagara,76.87,11.77
29270200301,Glps  Basava Pura,Primary,Department of Education,1,Chamarajanagara,76.6625,11.770833
29270209701,Ghps  Depapura,Primary with Upper Primary,Department of Education,1,Chamarajanagara,76.784167,11.771667
29270200501,Glps  Vaddanahosahalli,Primary,Department of Education,1,Chamarajanagara,76.680278,11.771944
29270114802,Glps Srinivasapura Colony,Primary,Department of Education,1,Chamarajanagara,77.10621,11.772454
29270205401,Ghps  Kanne Gala,Primary with Upper Primary,Department of Education,1,Chamarajanagara,76.605556,11.772778
29270123001,Glps Manchugundi Pura,Primary,Department of Education,1,Chamarajanagara,76.869167,11.773056
29270110503,Jss Hs Arakalavadi,Secondary Only,Government Aided,1,Chamarajanagara,76.86911,11.773105
29270110501,Ghps  Arakala Vadi,Primary with Upper Primary,Department of Education,1,Chamarajanagara,76.87,11.774
29270114803,Ashrama School Punajanuru,Primary,Tribal Welfare Department,1,Chamarajanagara,77.101,11.775
29270114801,Ghps  Punajur,Primary with Upper Primary,Department of Education,1,Chamarajanagara,77.113,11.775
29270207801,Glps  Maddur,Primary,Department of Education,1,Chamarajanagara,76.558889,11.777222
29270115304,Ghs Kolipalya,Secondary Only,Department of Education,1,Chamarajanagara,77.07828,11.77738
29270115301,Ghps  Koli Palya,Primary with Upper Primary,Department of Education,1,Chamarajanagara,77.077222,11.778889
29270200101,Ghps Annurukeri,Primary with Upper Primary,Department of Education,1,Chamarajanagara,76.695833,11.779444
29270205801,Glps  Maddaiahna Hundi,Primary,Department of Education,1,Chamarajanagara,76.593056,11.779722
29270200102,Ghs Annurkeri,Secondary Only,Department of Education,1,Chamarajanagara,76.695833,11.779722
